"渠道","概率"
"车商渠道","0.2112916762035553521019302662699320973526"
"个人代理","0.2538796063172350652323186083772030212863"
"专业中介","0.1752193484397650110627908751049057755398"
"交叉销售","0.0552529182879377431906614785992217898833"
"直拓","0.00006103608758678568703746089875638971541924"
"普通兼代(含银行代理)","0.0186617837796597238117036697947661554894"
"电网销","0.2853894865339131761654077973601892118715"
"门店","0.000244144350347142748149843595025558861677"
"品牌","概率"
"江淮","0.0122377355611505302510109102006561379416"
"东风悦达起亚","0.0390325780117494468604562447547112230106"
"上汽大众斯柯达","0.0302281223773556115053025101091020065614"
"飞碟","0.001403830014496070801861600671396963454643"
"荣威","0.00846875715266651407644769970244907301442"
"力帆(乘用车)","0.001403830014496070801861600671396963454643"
"上汽通用五菱","0.0181124589913786526283665217059586480507"
"东风雪铁龙","0.0108949416342412451361867704280155642023"
"沃尔沃亚太","0.002883955138475623712520027466239414053559"
"斯巴鲁","0.004180971999694819562066071564812695506218"
"广汽乘用车","0.003570611123826962691691462577248798352026"
"解放","0.0123750667582207980468451972228580148013"
"北汽绅宝","0.006500343327992675669489585717555504692149"
"解放(一汽哈轻)","0.000335698481727321278706034943160143434806"
"北方奔驰","0.001724269474326695658808270389868009460594"
"长安沃尔沃","0.000946059357595178149080643930724040588998"
"一汽马自达","0.003128099488822766460669871061264972915236"
"奇瑞捷豹路虎","0.001754787518120088502327000839246204318303"
"山推","0.00004577706569008926527809567406729228656443"
"长丰","0.000701915007248035400930800335698481727321"
"解放(一汽吉林)","0.002456702525368123903257801174944686045624"
"南骏","0.000106813153276874952315556572823682001984"
"道奇","0.001052872510872053101396200503547722590982"
"上元","0.000396734569314106965743495841916533150225"
"乘龙","0.000747692072938124666208896009765774013886"
"江铃","0.001770046540016784924086366063935301747158"
"黄河","0.000183108262760357061112382696269169146258"
"东风客车","0.00003051804379339284351873044937819485770962"
"湛江三星","0.00004577706569008926527809567406729228656443"
"福龙马","0.000183108262760357061112382696269169146258"
"至喜","0.00003051804379339284351873044937819485770962"
"楚胜","0.00007629510948348210879682612344548714427405"
"时风","0.00003051804379339284351873044937819485770962"
"西雅特","0.00003051804379339284351873044937819485770962"
"圣岳","0.00003051804379339284351873044937819485770962"
"林肯","0.000289921416037232013427939269092851148241"
"通华","0.000167849240863660639353017471580071717403"
"东风(东风专用)","0.00009155413138017853055619134813458457312886"
"舒驰","0.00004577706569008926527809567406729228656443"
"五征","0.000137331197070267795834287022201876859693"
"云豹","0.00004577706569008926527809567406729228656443"
"精功","0.00001525902189669642175936522468909742885481"
"双环红星","0.00001525902189669642175936522468909742885481"
"欧旅","0.00007629510948348210879682612344548714427405"
"万荣","0.00001525902189669642175936522468909742885481"
"坤博","0.00001525902189669642175936522468909742885481"
