"车系","不续保车系概率"
"解放JH6(P25)","0.000037940585044"
"帅铃T6","0.000037940585044"
"伊美","0.000018970292522"
"凯美瑞","0.007493265546155"
"骐达","0.007265622035892"
"雷克萨斯ES系","0.000720871115833"
"赛欧","0.007341503205979"
"四川一汽丰田RAV4","0.002542019197936"
"欧诺","0.001460712524187"
"速腾","0.016466213909018"
"宝马X5","0.001308950184012"
"锐驰","0.003224949728725"
"东风风神H30","0.000607049360701"
"逍客","0.009257502750692"
"华晨宝马5系","0.004628751375346"
"雷克萨斯LX系","0.000474257313048"
"森林人FORESTER","0.002162613347498"
"欧曼神舟","0.00079675228592"
"荣威i6","0.000265584095307"
"比亚迪S6","0.001100276966271"
"科沃兹","0.001346890769056"
"北京奔驰E级","0.002769662708199"
"名爵MG 7","0.000113821755131"
"大切诺基GRAND CHEROKEE","0.000417346435482"
"帝豪GL","0.000929544333574"
"北汽绅宝X35","0.001271009598968"
"哈弗H6 COUPE","0.001214098721402"
"东风标致4008","0.000303524680351"
"长安CM8","0.000037940585044"
"沃尔沃S90","0.000246613802785"
"胜达","0.001327920476534"
"欧铃载货汽车","0.000208673217741"
"哈弗H9","0.000189702925219"
"上海通用凯迪拉克ATS-L","0.000512197898092"
"福田轻型货车","0.000037940585044"
"英菲尼迪ESQ","0.000512197898092"
"海格10米公路客车","0.000455287020526"
"奔腾X80","0.001233069013924"
"瑞虎3","0.002295405395151"
"奔驰GLS级","0.000018970292522"
"佳美CAMRY","0.000170732632697"
"锐行(MG GT)","0.000189702925219"
"自由侠","0.000284554387829"
"吉利S1","0.000037940585044"
"东风雪铁龙C3-XR","0.000189702925219"
"Yeti","0.000531168190613"
"奇瑞E5","0.000910574041052"
"金杯S50","0.000018970292522"
"旗胜","0.000360435557916"
"宾悦","0.000018970292522"
"欧曼雄狮","0.000075881170088"
"朗境","0.000246613802785"
"启辰T90","0.000075881170088"
"宝沃BX5","0.000037940585044"
"自由光CHEROKEE","0.000113821755131"
"海迅","0.00009485146261"
"红岩牵引车","0.00009485146261"
"飞腾","0.000227643510263"
"奥迪A8","0.000644989945745"
"御风","0.000037940585044"
"奔驰CLS级","0.000037940585044"
"江淮皮卡","0.000132792047653"
"陆霸","0.000075881170088"
"酷搏CALIBER","0.000075881170088"
"高尔夫GOLF","0.000265584095307"
"东风标致5008","0.000075881170088"
"柳工汽车起重机","0.000037940585044"
"比速T3","0.000037940585044"
"中集混凝土搅拌车","0.000037940585044"
"雷克萨斯CT系","0.000075881170088"
"东风福瑞卡","0.000037940585044"
"中联混凝土泵车","0.00009485146261"
"欧朗","0.000056910877566"
"智尚S35","0.000018970292522"
"宝马6系","0.000018970292522"
"长城M1","0.000056910877566"
"金旅12米公路客车","0.000113821755131"
"北铃食品运输车","0.000037940585044"
"申龙骏马11米公路客车","0.000037940585044"
"世纪星","0.000037940585044"
"景逸S50","0.000037940585044"
"奔驰GLC级","0.000056910877566"
"金旅11米公路客车","0.000018970292522"
"讴歌TL","0.000018970292522"
"赛飞利ZAFIRA","0.000018970292522"
"广州五十铃11米公路客车","0.000018970292522"
"一汽红塔自由风","0.000037940585044"
"博越","0.002048791592366"
"飞碟货车","0.000929544333574"
"哈弗H6","0.008290017832075"
"一汽奥迪A4","0.005880790681792"
"奇骏","0.007777819933983"
"山西6米公路客车","0.000075881170088"
"威志","0.001897029252191"
"猎豹CS10","0.001346890769056"
"星韵","0.000056910877566"
"启辰R50X","0.00039837614296"
"爱尚","0.000056910877566"
"瑞风S2","0.00049322760557"
"思迪/锋范","0.002769662708199"
"长安CS35","0.00457184049778"
"东风悦达起亚K2","0.006981067648063"
"五菱兴旺/五菱龙","0.000929544333574"
"郑州宇通8米公路客车","0.000189702925219"
"全球鹰GX7","0.001062336381227"
"一汽马自达8","0.000056910877566"
"奥铃","0.001157187843837"
"北汽绅宝X65","0.000246613802785"
"星光","0.001650415449406"
"帅铃","0.000265584095307"
"奔腾B70","0.001138217551315"
"民意","0.002769662708199"
"东风G系列","0.000265584095307"
"思铂睿","0.000644989945745"
"荣威360","0.00049322760557"
"赛纳SIENNA","0.00009485146261"
"和悦","0.001233069013924"
"长安CX70","0.000208673217741"
"大众TRANSPORTER","0.000170732632697"
"帕萨特PASSAT","0.00039837614296"
"宏昌天马自卸车","0.000322494972872"
"陆风X5","0.000189702925219"
"瑞虎7","0.000151762340175"
"奇瑞A1","0.000075881170088"
"至喜低速货车","0.000037940585044"
"金龙8米公路客车","0.000056910877566"
"奔腾B90","0.000075881170088"
"鲸象喷洒车","0.000018970292522"
"东风风神AX7","0.000512197898092"
"赛威SAVANA","0.000056910877566"
"野马T70","0.000075881170088"
"欢动","0.000018970292522"
"圣岳自卸车","0.000037940585044"
"艾瑞泽7","0.000151762340175"
"威虎","0.000056910877566"
"锋哲AVENGER","0.000018970292522"
"中华H220","0.000037940585044"
"瑞铃","0.000056910877566"
"维特拉VITARA","0.000075881170088"
"发现神行","0.000360435557916"
"优优","0.000303524680351"
"小福星","0.000265584095307"
"郑州宇通10米公路客车","0.000075881170088"
"铂锐","0.000056910877566"
"程力威高空作业车","0.000037940585044"
"启腾EX80","0.000056910877566"
"景逸X6","0.000037940585044"
"凯门CAYMAN","0.000037940585044"
"无限","0.000056910877566"
"标致RCZ","0.000018970292522"
"马自达MAZDA3","0.000037940585044"
"川消消防车","0.000056910877566"
"伽途V5","0.000018970292522"
"超越","0.000037940585044"
"金卡载货汽车","0.000018970292522"
"飞花旅居车","0.000018970292522"
"雪铁龙C4","0.000018970292522"
"威姿","0.000018970292522"
"北斗星","0.00208673217741"
"迈腾","0.013886254126039"
"宝来","0.018287361991122"
"卡罗拉","0.000360435557916"
"东风标致307","0.001726296619494"
"途锐TOUAREG","0.001479682816709"
"桑塔纳","0.015479758697879"
"海狮","0.001650415449406"
"北汽绅宝X25","0.00119512842888"
"天语","0.002333345980195"
"狮跑SPORTAGE","0.000113821755131"
"启辰T70","0.000322494972872"
"东风天锦(B)","0.000113821755131"
"吉田","0.000037940585044"
"全顺","0.001498653109231"
"金刚","0.005273741321091"
"帕杰罗PAJERO","0.00039837614296"
"东风标致308","0.000967484918617"
"郑州日产其他车辆","0.000037940585044"
"华晨宝马3系","0.003414652653944"
"长城C50","0.000417346435482"
"荣威950","0.000132792047653"
"比亚迪M6","0.000170732632697"
"奥迪Q7","0.00079675228592"
"领动","0.001271009598968"
"指南者","0.000379405850438"
"撼路者","0.000132792047653"
"大迈X5","0.00079675228592"
"UR-V","0.000246613802785"
"聚宝低速货车","0.000018970292522"
"科迈罗CAMARO","0.000018970292522"
"奔驰GLE","0.000113821755131"
"奥轩","0.000170732632697"
"英菲尼迪FX系列(QX70)","0.000132792047653"
"东风其他车辆","0.000056910877566"
"冰熊冷藏车","0.000037940585044"
"迪尔","0.000189702925219"
"大切诺基","0.000056910877566"
"别克GL6","0.000075881170088"
"焕驰","0.000075881170088"
"申沃9米公路客车","0.000037940585044"
"华骏垃圾车","0.000018970292522"
"考斯特","0.000075881170088"
"金龙11米公路客车","0.00009485146261"
"帕纳美拉PANAMERA","0.000056910877566"
"长安CX20","0.000512197898092"
"陆霸自卸车","0.000037940585044"
"众泰Z700","0.000056910877566"
"远景X3","0.000113821755131"
"沃尔沃C30","0.000075881170088"
"霸锐BORREGO","0.000075881170088"
"林荫大道","0.000132792047653"
"海格7米公路客车","0.000113821755131"
"舒驰7米公路客车","0.000018970292522"
"华晨宝马1系","0.000113821755131"
"多士星售货车","0.000018970292522"
"康铃","0.000208673217741"
"华晨宝马2系","0.000113821755131"
"上元邮政车","0.000056910877566"
"奔驰CLA级","0.000075881170088"
"考斯特COASTER","0.000018970292522"
"郑州宇通11米公路客车","0.000037940585044"
"奥迪TT","0.000018970292522"
"金银湖清洗车","0.000018970292522"
"路帝RODIUS","0.000018970292522"
"F50","0.000037940585044"
"福莱尔","0.000037940585044"
"夏利","0.018913381644345"
"福克斯","0.01022498766931"
"五菱之光/五菱扬光","0.009712789771218"
"嘉年华","0.001934969837235"
"东风天龙(A)","0.001422771939143"
"东风小康","0.002143643054976"
"汉兰达","0.006241226239709"
"欧蓝德OUTLANDER","0.000872633456008"
"凌派","0.001043366088705"
"徐工救险车","0.000056910877566"
"精灵FORTWO","0.001612474864362"
"思威CR-V","0.007436354668589"
"比亚迪L3","0.002409227150283"
"瑞麒X系列","0.000341465265394"
"凯迪拉克SRX","0.000682930530789"
"科雷傲","0.000056910877566"
"库伯COOPER","0.001119247258793"
"荣威750","0.000265584095307"
"英致G3","0.000189702925219"
"陆地巡洋舰LAND CRUISER","0.003623325871685"
"金杯轻型货车","0.001100276966271"
"欧蓝德","0.001252039306446"
"东风风神S30","0.000512197898092"
"优6 SUV","0.000360435557916"
"奥德赛","0.001081306673749"
"力帆620","0.000360435557916"
"松花江微面","0.00009485146261"
"奔驰GLK级","0.000322494972872"
"宝马3系","0.000531168190613"
"宝马X4","0.000208673217741"
"西玛","0.000037940585044"
"北京汽车E系列","0.002010851007323"
"英菲尼迪EX系列(QX50)","0.000246613802785"
