"车系","续保车系概率"
"狮跑/智跑","0.008501676936276"
"荣威550","0.002027922938928"
"哈弗H1","0.001637937758365"
"东风雪铁龙C5","0.001013961469464"
"启辰R50","0.001325949613915"
"长城C30","0.000701973325014"
"华晨宝马X1","0.003587863661181"
"玛驰","0.000467982216676"
"北京奔驰GLK级","0.003509866625068"
"朗行","0.00148194368614"
"东风悦达起亚K3","0.003041884408392"
"劲炫","0.001169955541689"
"北京现代ix35","0.006785742141799"
"路尊","0.000467982216676"
"东风雪铁龙C4L","0.000233991108338"
"东风标致301","0.001637937758365"
"昕锐","0.010139614694642"
"自由光","0.000935964433352"
"锐腾","0.001403946650027"
"自由舰","0.003041884408392"
"金鹰","0.000233991108338"
"逸动XT","0.000155994072225"
"逸致","0.000467982216676"
"北京40","0.000389985180563"
"长城特种车","0.000077997036113"
"名图","0.001559940722253"
"索纳塔","0.003197878480618"
"宝骏310W","0.000623976288901"
"众泰T700","0.000077997036113"
"比亚迪F0","0.002573902191717"
"奔腾B30","0.000233991108338"
"远景","0.001871928866703"
"利亚纳","0.000233991108338"
"沃尔沃XC90","0.000545979252788"
"庆铃N系列商用车","0.000467982216676"
"英菲尼迪G系列(Q50/Q60)","0.000467982216676"
"千里马","0.000311988144451"
"景逸","0.000623976288901"
"解放J4(P1)","0.000857967397239"
"LANNIA 蓝鸟","0.001871928866703"
"阁瑞斯","0.000311988144451"
"迈凯MACAN","0.000467982216676"
"帝豪GS","0.000389985180563"
"柳州五菱微卡","0.000077997036113"
"奔驰B级","0.001091958505577"
"菱悦","0.000389985180563"
"东风标致2008","0.001325949613915"
"北京奔驰GLA级","0.002027922938928"
"比亚迪G6","0.000467982216676"
"雅绅特","0.000935964433352"
"幻速S3","0.000077997036113"
"SPARK乐驰","0.001013961469464"
"锦重汽车起重机","0.000077997036113"
"上海通用凯迪拉克CT6","0.000077997036113"
"宝马5系","0.000389985180563"
"维拉克斯VERACRUZ","0.000311988144451"
"悦翔V7","0.000233991108338"
"一汽奥迪A3","0.004055845877857"
"哈弗H7","0.000389985180563"
"福特F系","0.000155994072225"
"中华H530","0.000233991108338"
"探险者EXPLORER","0.000389985180563"
"哈弗M6","0.000077997036113"
"魏派VV7","0.000545979252788"
"爱腾ACTYON","0.000077997036113"
"奇瑞QQ6","0.000233991108338"
"辉昂","0.000545979252788"
"江西五十铃mu-X","0.000077997036113"
"奥迪A6","0.000077997036113"
"东南DX7","0.000233991108338"
"长城C20R","0.000233991108338"
"金牛座","0.000467982216676"
"乘龙货车","0.001559940722253"
"炫丽","0.000311988144451"
"公爵CEDRIC","0.000077997036113"
"奔驰E级","0.000155994072225"
"宝马4系","0.000077997036113"
"路盛E70","0.000155994072225"
"畅达专用车","0.000233991108338"
"长安马自达2","0.000077997036113"
"斯威X7","0.000077997036113"
"华劲半挂车","0.000233991108338"
"众泰5008(乐睿)","0.000155994072225"
"欧曼昆仑","0.000077997036113"
"宝马2系","0.000077997036113"
"东岳重工汽车起重机","0.000077997036113"
"普力马","0.000233991108338"
"万荣半挂车","0.000077997036113"
"酷派COUPE","0.000155994072225"
"丘比特","0.000077997036113"
"宝石低速货车","0.000077997036113"
"骏逸","0.000077997036113"
"天顺半挂车","0.000077997036113"
"中通8米公路客车","0.000077997036113"
"瑞风","0.001871928866703"
"明锐","0.028312924108884"
"途胜","0.003665860697294"
"花冠/卡罗拉","0.012323531705795"
"北京现代ix25","0.000545979252788"
"英朗","0.012947507994696"
"昂科雷ENCLAVE","0.000623976288901"
"捷达","0.022541143436549"
"金王子","0.000077997036113"
"钻卡","0.000233991108338"
"途观","0.007799703611263"
"高尔夫","0.008813665080727"
"雷凌","0.001091958505577"
"旗铃","0.000077997036113"
"骏捷","0.001949925902816"
"别克GL8","0.004133842913969"
"翼虎","0.00179393183059"
"一汽哈轻轻卡","0.000155994072225"
"比亚迪G3","0.000233991108338"
"科帕奇","0.000545979252788"
"解放J5M(P7)悍威","0.000467982216676"
"思域","0.002729896263942"
"奇瑞QQ/QQ3","0.003821854769519"
"秀尔","0.000155994072225"
"羚羊","0.000779970361126"
"野马F99","0.000077997036113"
"多利卡","0.000311988144451"
"远舰/K5","0.002495905155604"
"菱致","0.000311988144451"
"名爵MG 6","0.000311988144451"
"途安","0.000467982216676"
"东风悦达起亚KX5","0.000779970361126"
"一汽马自达6","0.002885890336167"
"长安CS95","0.000077997036113"
"红岩自卸车","0.000545979252788"
"昂科拉","0.002885890336167"
"宝迪","0.001871928866703"
"TRAX创酷","0.000467982216676"
"宝马7系","0.001403946650027"
"皇冠","0.000701973325014"
"蒙迪欧","0.002495905155604"
"昊锐","0.002027922938928"
"中意","0.000233991108338"
"陆风X7","0.000077997036113"
"瑞风S5","0.000233991108338"
"英菲尼迪JX系列(QX60)","0.000545979252788"
"阳光","0.003509866625068"
"英菲尼迪QX系列(QX80)","0.000077997036113"
"飞度","0.005303798455659"
"英伦SC6","0.000467982216676"
"奇瑞E3","0.001013961469464"
"酷威JCUV","0.000935964433352"
"欧尚","0.000623976288901"
"北方奔驰载货车","0.000389985180563"
"北汽绅宝D50","0.00592777474456"
"英伦SC7(海景)","0.001013961469464"
"斯达-斯太尔自卸车","0.000077997036113"
"捷豹XJ级","0.000077997036113"
"锐骐","0.000935964433352"
"菱帅","0.000077997036113"
"北方奔驰牵引车","0.000155994072225"
"科雷傲KOLEOS","0.001559940722253"
"捷豹XF级","0.000623976288901"
"启辰D50","0.000467982216676"
"启悦","0.000155994072225"
"东风标致206","0.000233991108338"
"大力士半挂车","0.000623976288901"
"解放J4(P4)","0.000155994072225"
"传祺GA3S视界","0.000935964433352"
"华骏半挂车","0.000701973325014"
"宝马1系","0.001325949613915"
"力帆520","0.000077997036113"
"沃尔沃S60","0.000311988144451"
"优胜","0.000155994072225"
"元","0.000077997036113"
"小霸王","0.000311988144451"
"福瑞达M50","0.000155994072225"
"特顺","0.000233991108338"
"理念S1","0.000935964433352"
"长安微卡","0.000155994072225"
"雷斯特REXTON","0.000077997036113"
"瑞鹰","0.000077997036113"
"凌轩","0.000077997036113"
"长安马自达CX-5","0.000311988144451"
"风度CEFIRO","0.000311988144451"
"赛豹","0.000077997036113"
"奥迪A5","0.000233991108338"
"悦悦","0.000077997036113"
"福瑞达","0.000155994072225"
"宝骏730","0.000701973325014"
"神狐真空吸污车","0.000155994072225"
"海格12米公路客车","0.000077997036113"
"荣威RX3","0.000155994072225"
"宝骏310","0.000233991108338"
"奥迪Q3","0.000077997036113"
"众泰2008","0.000077997036113"
"奔驰G级","0.000389985180563"
"爱迪尔","0.000077997036113"
"西耶那","0.000311988144451"
"大运混凝土搅拌运输车","0.000233991108338"
"春兰载货车","0.000077997036113"
"海格11米公路客车","0.000077997036113"
"君爵GRANDEUR","0.000077997036113"
"圣路救护车","0.000077997036113"
"海域","0.000077997036113"
"大众up","0.000077997036113"
"众泰T200","0.000077997036113"
"海马M3","0.000155994072225"
"沃尔沃S40","0.000155994072225"
"奔驰SLK级","0.000077997036113"
"斯堪尼亚牵引车","0.000155994072225"
"睿行S50","0.000077997036113"
"长安之星","0.004601825130645"
"帕萨特","0.012947507994696"
"传祺GS4","0.006629748069573"
"沃尔沃V40","0.000779970361126"
"长安CS55","0.000233991108338"
"传祺GS5","0.001637937758365"
"帝豪EC","0.001559940722253"
"雅阁","0.01068559394743"
"奔奔","0.001169955541689"
"歌诗图","0.001247952577802"
"宏光","0.005693783636222"
"通用五菱微卡","0.000545979252788"
"得意","0.001715934794478"
"解放J6(P6)","0.01809531237813"
"朗动","0.003431869588956"
"瑞风S3","0.000233991108338"
"瑞纳","0.00772170657515"
"比速T5","0.000077997036113"
"豪泺(HOWO)-A7","0.000311988144451"
"牧马人WRANGLER","0.000389985180563"
"一汽奥迪A6","0.015677404258638"
"博瑞GC9","0.000155994072225"
"海格8米公路客车","0.000077997036113"
"长安沃尔沃S80","0.000857967397239"
"指南者COMPASS","0.001403946650027"
"威乐","0.000155994072225"
"速派","0.003197878480618"
"荣威RX5","0.005693783636222"
"骊威","0.001949925902816"
"东风悦达起亚KX3","0.000389985180563"
"哥瑞","0.000701973325014"
"辉腾PHAETON","0.000155994072225"
"锐界","0.001091958505577"
"雨燕","0.004055845877857"
"炫威XR-V","0.001559940722253"
"上海通用凯迪拉克XT5","0.000701973325014"
"东风标致207","0.002495905155604"
"佳宝","0.000155994072225"
"宝骏630","0.000311988144451"
"哈弗H2","0.000623976288901"
"名爵ZS","0.001325949613915"
"夏朗SHARAN","0.000467982216676"
"中燕厢式运输车","0.000311988144451"
"甲壳虫BEETLE","0.001013961469464"
"途昂","0.001247952577802"
"楼兰","0.000389985180563"
"北汽绅宝X55","0.000077997036113"
"德龙","0.000077997036113"
"思铭","0.000233991108338"
"柯斯达","0.000077997036113"
"魏派VV5","0.000233991108338"
"宝典","0.000077997036113"
"乐骋","0.000623976288901"
"英菲尼迪M系列(Q70)","0.000623976288901"
"奇瑞A5","0.000077997036113"
"传祺GA5","0.000077997036113"
"速锐","0.000701973325014"
"捷豹F-PACE级","0.000389985180563"
"北京克莱斯勒300C","0.000077997036113"
"艾瑞泽5","0.000623976288901"
"悦翔","0.000467982216676"
"江铃轻卡","0.001949925902816"
"程力威售货车","0.000077997036113"
"徐工汽车起重机","0.000623976288901"
"众泰Z300","0.000233991108338"
"宝马X6","0.000233991108338"
"江淮自卸车","0.000155994072225"
"途乐PATROL","0.000077997036113"
"南京依维柯其他车辆","0.000311988144451"
"柯兰多KORAND","0.000311988144451"
"济南鸿雁邮政车","0.000155994072225"
"乐驰","0.000155994072225"
"一汽马自达CX-4","0.000155994072225"
"三星SM5","0.000077997036113"
"欧曼奇兵","0.000545979252788"
"普瑞维亚PREVIA","0.000233991108338"
"奔驰GLA级","0.000155994072225"
"郑州日产NV200","0.000155994072225"
"大柴神","0.000077997036113"
"东风随车起重运输车","0.000311988144451"
"普莱特","0.000155994072225"
"欧雅","0.000077997036113"
"郑州宇通专用车","0.000155994072225"
"威铃","0.000155994072225"
"讴歌MDX","0.000155994072225"
"途睿欧","0.000077997036113"
"奥迪A4","0.000155994072225"
"跃进低速货车","0.000077997036113"
"庆铃F系列重型商用车","0.000077997036113"
"东风风度MX5","0.000077997036113"
"欧霸","0.000077997036113"
"宝石测井车","0.000077997036113"
"凯越","0.010451602839092"
"景程","0.001091958505577"
"宝马X3","0.002417908119491"
"自由客PATRIOT","0.000233991108338"
"傲虎OUTBACK","0.002183917011154"
"迈锐宝","0.006785742141799"
"帝豪","0.000701973325014"
"瑞虎","0.001169955541689"
"菲翔","0.001403946650027"
"探界者","0.001169955541689"
"晶锐","0.003743857733406"
"爱丽舍","0.00444583105842"
"时代驭菱","0.000389985180563"
"昂科威","0.007955697683488"
"朗逸","0.008735668044614"
"传祺GS8","0.001247952577802"
"宝骏560","0.000623976288901"
"瑞风M4","0.000467982216676"
"伽途T3","0.000155994072225"
"福美来","0.000233991108338"
"福瑞迪","0.003041884408392"
"北京低速货车","0.000389985180563"
"奥拓","0.002261914047266"
"凌渡","0.001247952577802"
"豪泺(HOWO)","0.000467982216676"
"北方奔驰自卸车","0.000311988144451"
"逸动","0.000389985180563"
"波罗","0.007955697683488"
"海星","0.000545979252788"
"风行","0.001169955541689"
"宝骏510","0.000701973325014"
"宝马X1","0.000389985180563"
"雅力士","0.001403946650027"
"好运","0.000077997036113"
"森雅","0.001091958505577"
"北汽绅宝D20","0.001169955541689"
"山推推土机","0.000233991108338"
"荣威350","0.002885890336167"
"蓝鸟","0.000233991108338"
"欧力威","0.000389985180563"
"东风标致408","0.001637937758365"
"奔驰A级","0.000701973325014"
"极光","0.00179393183059"
"小虎","0.000467982216676"
"力帆X60","0.000233991108338"
"颐达","0.000935964433352"
"北京奔驰GLC级","0.000935964433352"
"宝利格","0.000389985180563"
"奔腾X40","0.000623976288901"
"佳宝V系列","0.000545979252788"
"全球鹰GC7","0.000233991108338"
"众泰T600","0.000701973325014"
"东风悦达起亚K4","0.000545979252788"
"东风英菲尼迪Q50L","0.001169955541689"
"派力奥","0.000233991108338"
"瑞虎5","0.001169955541689"
"英伦SX7","0.000077997036113"
"奇瑞捷豹XFL","0.001403946650027"
"一汽吉林微型货车","0.000233991108338"
"唯雅诺","0.000077997036113"
"骏派D60","0.000155994072225"
"红岩货车","0.000077997036113"
"驭胜","0.000233991108338"
"一汽吉林专用车","0.000155994072225"
"精灵FORFOUR","0.000389985180563"
"福克斯FOCUS","0.000155994072225"
"尊驰","0.000389985180563"
"冀骏半挂车","0.000467982216676"
"蓝瑟","0.000545979252788"
"埃尔法ALPHARD","0.000155994072225"
"金霸","0.000155994072225"
"东风雪铁龙C2","0.000701973325014"
"奇瑞A3","0.000077997036113"
"时代金刚","0.000077997036113"
"远景X1","0.000155994072225"
"凯翼X3","0.000155994072225"
"京探钻机车","0.000077997036113"
"中顺世纪","0.000077997036113"
"飞碟厢式运输车","0.000155994072225"
"骏意","0.000077997036113"
"奔驰SL级","0.000155994072225"
"瑞虎3X","0.000077997036113"
"柳工装载机","0.000155994072225"
"发现神行DISCOVERY SPORT","0.000155994072225"
"康霸","0.000077997036113"
"鲁旭达半挂车","0.000077997036113"
"悍马H2","0.000077997036113"
"塔利斯曼TALISMAN","0.000155994072225"
"威麟V系列","0.000077997036113"
"标致405","0.000077997036113"
"齐安半挂车","0.000077997036113"
"赛铃","0.000077997036113"
"宝来BORA/捷达JETTA","0.000077997036113"
"发现DISCOVERY","0.001247952577802"
"凯美瑞","0.006005771780672"
"骐达","0.006473753997348"
"轩逸","0.009125653225177"
"速腾","0.012947507994696"
"天籁","0.00475781920287"
"雷克萨斯ES系","0.000779970361126"
"赛欧","0.008111691755713"
"四川一汽丰田RAV4","0.001247952577802"
"力帆320","0.000545979252788"
"风行SX6","0.000311988144451"
"欧诺","0.000779970361126"
"天津一汽丰田RAV4","0.001559940722253"
"普拉多","0.002651899227829"
"宝马X5","0.001325949613915"
"锐驰","0.002417908119491"
"东风风神H30","0.000701973325014"
"比亚迪F3","0.003509866625068"
"逍客","0.007565712502925"
"华晨宝马5系","0.006395756961235"
"雷克萨斯LX系","0.000077997036113"
"森林人FORESTER","0.00444583105842"
"科沃兹","0.002573902191717"
"荣光","0.001559940722253"
"爱唯欧","0.001247952577802"
"欧曼神舟","0.000311988144451"
"世嘉","0.004523828094532"
"奥迪A1","0.001091958505577"
"奔驰ML级","0.001169955541689"
"陆地巡洋舰","0.001091958505577"
"荣威i6","0.000857967397239"
"风景爱尔法","0.000701973325014"
"君威","0.00475781920287"
"中集半挂车","0.000545979252788"
"长安CS15","0.000155994072225"
"比亚迪S6","0.001169955541689"
"北京奔驰E级","0.004835816238983"
"名爵MG 7","0.000155994072225"
"大切诺基GRAND CHEROKEE","0.000545979252788"
"奥迪A8","0.000935964433352"
"哈弗H3","0.000935964433352"
"帝豪GL","0.000077997036113"
"欧曼专用车","0.000311988144451"
"长城M2","0.000155994072225"
"北汽绅宝X35","0.000155994072225"
"东风标致3008","0.00148194368614"
"时代领航","0.000779970361126"
"奔驰GLS级","0.000467982216676"
"全顺新世代","0.001169955541689"
"哈弗H6 COUPE","0.000389985180563"
"东风标致4008","0.000467982216676"
"沃尔沃S90","0.000311988144451"
"骏铃","0.000155994072225"
"英菲尼迪ESQ","0.001637937758365"
"欧马可","0.000389985180563"
"胜达","0.001247952577802"
"欧铃载货汽车","0.000155994072225"
"哈弗H9","0.000155994072225"
"乐风","0.00179393183059"
"Yeti","0.001325949613915"
"奔腾X80","0.000779970361126"
"劲客","0.000857967397239"
"上海通用凯迪拉克ATS-L","0.000857967397239"
"福田轻型货车","0.000155994072225"
"凯马载货车","0.000311988144451"
"黄河货车","0.000935964433352"
"开乐半挂车","0.000935964433352"
"豪情","0.000311988144451"
"海格10米公路客车","0.000857967397239"
"启辰T90","0.000389985180563"
"斯巴鲁XV","0.000779970361126"
"瑞虎3","0.001091958505577"
"高尔夫GOLF","0.000701973325014"
"佳美CAMRY","0.000077997036113"
"锐行(MG GT)","0.000389985180563"
"自由侠","0.000545979252788"
"瑞麒M系列","0.000389985180563"
"锐志","0.000857967397239"
"大通V80","0.000389985180563"
"东风雪铁龙C3-XR","0.000077997036113"
"欧朗","0.000155994072225"
"楚胜加油车","0.000077997036113"
"奇瑞E5","0.000623976288901"
"广汽讴歌CDX","0.000233991108338"
"欧曼雄狮","0.000077997036113"
"朗境","0.000077997036113"
"自由光CHEROKEE","0.000311988144451"
"海迅","0.000077997036113"
"红岩牵引车","0.000155994072225"
"飞腾","0.000233991108338"
"汉兰达HIGHLANDER","0.000077997036113"
"乐风RV","0.000155994072225"
"酷搏CALIBER","0.000077997036113"
"东风标致5008","0.000311988144451"
"中集混凝土搅拌车","0.000077997036113"
"马自达MAZDA5","0.000077997036113"
"世纪星","0.000077997036113"
"雷克萨斯CT系","0.000155994072225"
"菱仕","0.000077997036113"
"优雅(瑞麒2)","0.000155994072225"
"风朗FLUENCE","0.000077997036113"
"坤博半挂车","0.000077997036113"
"奔驰GLC级","0.000077997036113"
"唐","0.000077997036113"
"申龙骏马11米公路客车","0.000077997036113"
"欧菲莱斯OPIRUS","0.000155994072225"
"冠道","0.001559940722253"
"博越","0.000701973325014"
"飞碟货车","0.000779970361126"
"一汽大众CC","0.000311988144451"
"哈弗H6","0.003119881444505"
"一汽奥迪A4","0.013415490211372"
